campaign_id,campaign_name,channel,start_date,end_date
CAM200,Campaign 0,Search,2024-03-29,2024-08-23
CAM201,Campaign 1,Email,2024-07-27,2024-09-12
CAM202,Campaign 2,Search,2024-09-10,2025-01-19
CAM203,Campaign 3,Display,2024-09-28,2025-02-14
CAM204,Campaign 4,Search,2023-10-28,2024-02-16
CAM205,Campaign 5,Email,2024-03-31,2024-08-12
CAM206,Campaign 6,Search,2023-07-21,2023-09-04
CAM207,Campaign 7,Social,2024-11-04,2024-12-24
CAM208,Campaign 8,Display,2023-10-29,2024-04-13
CAM209,Campaign 9,Search,2024-09-15,2025-01-28
CAM210,Campaign 10,Social,2023-12-03,2024-05-12
CAM211,Campaign 11,Search,2023-02-01,2023-04-15
CAM212,Campaign 12,Display,2023-04-08,2023-09-07
CAM213,Campaign 13,Social,2023-07-10,2023-12-22
CAM214,Campaign 14,Social,2024-06-24,2024-11-11
CAM215,Campaign 15,Affiliate,2023-02-17,2023-07-13
CAM216,Campaign 16,Social,2023-09-07,2024-02-09
CAM217,Campaign 17,Search,2023-08-14,2023-10-01
CAM218,Campaign 18,Display,2023-09-29,2023-12-31
CAM219,Campaign 19,Display,2024-10-26,2025-01-03
CAM220,Campaign 20,Affiliate,2024-04-29,2024-07-18
CAM221,Campaign 21,Search,2023-11-24,2024-05-08
CAM222,Campaign 22,Social,2023-06-29,2023-09-22
CAM223,Campaign 23,Email,2024-10-26,2025-02-13
CAM224,Campaign 24,Email,2023-01-23,2023-07-14
CAM225,Campaign 25,Display,2024-08-28,2024-12-05
CAM226,Campaign 26,Social,2024-01-05,2024-06-10
CAM227,Campaign 27,Social,2023-09-02,2024-02-04
CAM228,Campaign 28,Search,2023-06-09,2023-09-07
CAM229,Campaign 29,Affiliate,2024-01-08,2024-04-26
CAM230,Campaign 30,Search,2023-10-12,2024-03-10
CAM231,Campaign 31,Social,2024-06-04,2024-10-12
CAM232,Campaign 32,Social,2024-03-25,2024-07-09
CAM233,Campaign 33,Social,2024-11-27,2025-05-20
CAM234,Campaign 34,Social,2024-10-08,2025-03-12
CAM235,Campaign 35,Display,2024-09-13,2024-11-03
CAM236,Campaign 36,Social,2024-08-03,2024-11-23
CAM237,Campaign 37,Social,2023-05-16,2023-11-02
CAM238,Campaign 38,Social,2023-04-06,2023-07-22
CAM239,Campaign 39,Email,2023-04-29,2023-08-31
