customer_id,full_name,gender,age,segment,city,province,join_date
C100000,Customer 0,Male,70,Silver,Banjarmasin,Kalimantan,2021-08-29
C100001,Customer 1,Female,56,Bronze,Jakarta,Jakarta,2022-10-07
C100002,Customer 2,Female,27,Silver,Jakarta,Jakarta,2021-08-11
C100003,Customer 3,Female,26,Bronze,Madiun,East Java,2023-04-09
C100004,Customer 4,Male,33,Bronze,Serang,Banten,2023-11-30
C100005,Customer 5,Male,74,Silver,Yogyakarta,Yogyakarta,2023-05-15
C100006,Customer 6,Male,22,Bronze,Malang,East Java,2023-03-23
C100007,Customer 7,Female,69,Bronze,Bandung,West Java,2020-02-17
C100008,Customer 8,Female,35,Bronze,Denpasar,Bali,2022-10-21
C100009,Customer 9,Female,74,Gold,Bogor,West Java,2023-12-01
C100010,Customer 10,Male,38,Bronze,Serang,Banten,2023-02-04
C100011,Customer 11,Female,70,Silver,Bandung,West Java,2020-06-21
C100012,Customer 12,Female,37,Priority,Bekasi,West Java,2021-05-20
C100013,Customer 13,Male,71,Silver,Medan,Sumatra,2023-02-27
C100014,Customer 14,Male,35,Silver,Pekanbaru,Sumatra,2021-02-01
C100015,Customer 15,Male,27,Bronze,Surakarta,Central Java,2020-10-20
C100016,Customer 16,Male,52,Silver,Semarang,Central Java,2021-07-05
C100017,Customer 17,Female,68,Bronze,Denpasar,Bali,2022-04-29
C100018,Customer 18,Male,31,Priority,Bekasi,West Java,2022-11-05
C100019,Customer 19,Male,72,Silver,Tegal,Central Java,2022-06-03
C100020,Customer 20,Female,30,Silver,Medan,Sumatra,2023-10-04
C100021,Customer 21,Male,24,Silver,Jakarta,Jakarta,2022-09-30
C100022,Customer 22,Male,46,Priority,Madiun,East Java,2023-05-11
C100023,Customer 23,Male,31,Gold,Bandung,West Java,2020-05-13
C100024,Customer 24,Male,36,Bronze,Tegal,Central Java,2022-02-09
C100025,Customer 25,Female,25,Silver,Makassar,Sulawesi,2021-05-22
C100026,Customer 26,Male,52,Silver,Jakarta,Jakarta,2022-12-25
C100027,Customer 27,Male,24,Silver,Makassar,Sulawesi,2021-04-24
C100028,Customer 28,Female,47,Bronze,Serang,Banten,2022-05-12
C100029,Customer 29,Male,33,Bronze,Cimahi,West Java,2021-04-03
C100030,Customer 30,Female,24,Silver,Medan,Sumatra,2023-09-27
