transaction_id,transaction_date,customer_id,product_id,quantity,transaction_unit_price,amount,transaction_channel,campaign_id,calc_amount,amount_diff,amount_calc,amount_category,full_name,gender,age,segment,city,province,join_date,product_name,category,brand,product_price,cost,campaign_name,campaign_channel,start_date,end_date,month,region,spend,impressions,clicks,conversions,sales_target,year,month_num,year_month,cost_total,gross_profit,profit_margin,is_campaign
T100000,2023-08-12,C100919,P1128,2,4075900.0,8151800.0,Internet,CAM212,8151800.0,16.0,8151800.0,Exact,Customer 919,Male,21,Gold,Malang,East Java,2020-05-07,Product 128,Loans,Standard,3210500.0,1288400.0,Campaign 12,Display,2023-04-08,2023-09-07,2023-08-01,Java,,,,,,2023,8,2023-08,2576800.0,6863400.0,0.6838980347898623,True
T100001,2024-04-07,C100854,P1053,4,2639500.0,10558000.0,Internet,No Campaign,10558000.0,-37.0,10558000.0,Exact,Customer 854,Male,27,Bronze,Cimahi,West Java,2020-09-21,Product 53,Loans,Premium,2489700.0,1404800.0,,,,,2024-04-01,Java,,,,,,2024,4,2024-04,5619200.0,9153200.0,0.4677779882553514,False
T100002,2023-01-21,C102083,P1124,2,2743700.0,5487400.0,Mobile,CAM221,5487400.0,-33.0,5487400.0,Exact,Customer 2083,Female,26,Gold,Denpasar,Bali,2022-04-16,Product 124,Insurance,Business,3102800.0,1766800.0,Campaign 21,Search,2023-11-24,2024-05-08,2023-01-01,Bali,,,,,562646074.0,2023,1,2023-01,3533600.0,3720600.0,0.35605204650654226,True
T100003,2024-01-22,C101253,P1079,3,1106300.0,3318900.0,Mobile,CAM237,3318900.0,-126.0,3318900.0,Exact,Customer 1253,Male,60,Bronze,Malang,East Java,2023-09-28,Product 79,Wealth,Standard,882500.0,389400.0,Campaign 37,Social,2023-05-16,2023-11-02,2024-01-01,Java,,,,,,2024,1,2024-01,1168200.0,2929500.0,0.6480159088854741,True
T100004,2024-10-09,C101668,P1033,1,2614300.0,2614300.0,Internet,CAM210,2614300.0,48.0,2614300.0,Exact,Customer 1668,Male,34,Bronze,Jakarta,Jakarta,2023-03-23,Product 33,Insurance,Business,2987900.0,1319200.0,Campaign 10,Social,2023-12-03,2024-05-12,2024-10-01,Jakarta,156379470.0,4418551566.0,355434408.0,30308530.0,386381357.0,2024,10,2024-10,1319200.0,1295100.0,0.495390735569751,True
T100005,2023-11-22,C101188,P1004,2,5138600.0,10277200.0,Mobile,CAM223,10277200.0,56.0,10277200.0,Exact,Customer 1188,Male,23,Silver,Bekasi,West Java,2023-05-07,Product 4,Cards,Premium,4110100.0,948800.0,Campaign 23,Email,2024-10-26,2025-02-13,2023-11-01,Java,,,,,,2023,11,2023-11,1897600.0,9328400.0,0.8153582687891644,True
T100006,2024-04-11,C101562,P1094,1,5027700.0,5027700.0,Internet,CAM212,5027700.0,-34.0,5027700.0,Exact,Customer 1562,Female,42,Bronze,Bogor,West Java,2022-04-12,Product 94,Deposits,Business,4965400.0,454900.0,Campaign 12,Display,2023-04-08,2023-09-07,2024-04-01,Java,,,,,,2024,4,2024-04,454900.0,4572800.0,0.9095212522624659,True
T100007,2024-10-18,C101630,P1114,3,3149200.0,9447600.0,Call Center,No Campaign,9447600.0,-50.0,9447600.0,Exact,Customer 1630,Female,46,Silver,Serang,Banten,2021-01-28,Product 114,Deposits,Business,3377800.0,644200.0,,,,,2024-10-01,Java,,,,,,2024,10,2024-10,1932600.0,8803400.0,0.7954401117744189,False
T100008,2024-06-05,C102949,P1105,4,4011800.0,16047200.0,Internet,CAM228,16047200.0,-107.0,16047200.0,Exact,Customer 2949,Female,41,Bronze,Tangerang,Banten,2021-10-19,Product 105,Cards,Business,3473100.0,664400.0,Campaign 28,Search,2023-06-09,2023-09-07,2024-06-01,Java,,,,,,2024,6,2024-06,2657600.0,15382800.0,0.8343885537663892,True
T100009,2023-08-13,C101151,P1080,1,871600.0,871600.0,Mobile,CAM213,871600.0,-29.0,871600.0,Exact,Customer 1151,Female,40,Gold,Tangerang,Banten,2023-03-20,Product 80,Wealth,Premium,762000.0,222800.0,Campaign 13,Social,2023-07-10,2023-12-22,2023-08-01,Java,,,,,,2023,8,2023-08,222800.0,648800.0,0.7443781551170262,True
T100010,2024-10-14,C100511,P1027,1,2286500.0,2286500.0,Internet,CAM222,2286500.0,-21.0,2286500.0,Exact,Customer 511,Male,73,Silver,Jakarta,Jakarta,2022-08-01,Product 27,Cards,Business,3047800.0,1365700.0,Campaign 22,Social,2023-06-29,2023-09-22,2024-10-01,Jakarta,156379470.0,4418551566.0,355434408.0,30308530.0,386381357.0,2024,10,2024-10,1365700.0,920800.0,0.4027115678985349,True
T100011,2024-04-19,C102805,P1144,3,1544900.0,4634700.0,Mobile,No Campaign,4634700.0,-141.0,4634700.0,Exact,Customer 2805,Female,41,Bronze,Medan,Sumatra,2020-08-07,Product 144,Cards,Business,1922900.0,990300.0,,,,,2024-04-01,Sumatra,219071450.0,7562816852.0,496738603.0,66256998.0,750229059.0,2024,4,2024-04,2970900.0,3644400.0,0.3589876367402421,False
T100012,2024-09-09,C100277,P1021,2,3120700.0,6241400.0,Agent,No Campaign,6241400.0,-93.0,6241400.0,Exact,Customer 277,Female,47,Silver,Jakarta,Jakarta,2023-08-23,Product 21,Cards,Standard,4053700.0,1314400.0,,,,,2024-09-01,Jakarta,99642335.0,2941623190.0,202626134.0,13097986.0,249879224.0,2024,9,2024-09,2628800.0,4927000.0,0.5788124459255937,False
