transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,amount,channel,campaign_id,city,province
T100000,2023-08-12,C100919,P1128,2,4075900.0,8151816,Internet,CAM212,Malang,East Java
T100001,2024-04-07,C100854,P1053,4,2639500.0,10557963,Internet,,Cimahi,West Java
T100002,2023-01-21,C102083,P1124,2,2743700.0,5487367,Mobile,CAM221,Denpasar,Bali
T100003,2024-01-22,C101253,P1079,3,1106300.0,3318774,Mobile,CAM237,Malang,East Java
T100004,2024-10-09,C101668,P1033,1,2614300.0,2614348,Internet,CAM210,Jakarta,Jakarta
T100005,2023-11-22,C101188,P1004,2,5138600.0,10277256,Mobile,CAM223,Bekasi,West Java
T100006,2024-04-11,C101562,P1094,1,5027700.0,5027666,Internet,CAM212,Bogor,West Java
T100007,2024-10-18,C101630,P1114,3,3149200.0,9447550,CallCenter,,Serang,Banten
T100008,2024-06-05,C102949,P1105,4,4011800.0,16047093,Internet,CAM228,Tangerang,Banten
T100009,2023-08-13,C101151,P1080,1,871600.0,871571,Mobile,CAM213,Tangerang,Banten
T100010,2024-10-14,C100511,P1027,1,2286500.0,2286479,Internet,CAM222,Jakarta,Jakarta
T100011,2024-04-19,C102805,P1144,3,1544900.0,4634559,Mobile,,Medan,Sumatra
T100012,2024-09-09,C100277,P1021,2,3120700.0,6241307,Agent,,Jakarta,Jakarta
T100013,2024-12-06,C100330,P1083,4,843800.0,3375167,Branch,CAM229,Serang,Banten
T100014,2024-04-02,C102407,P1045,2,318300.0,636549,Mobile,,Surakarta,Central Java
T100015,2024-10-01,C100870,P1131,6,1675200.0,10051133,Agent,CAM215,Tangerang,Banten
T100016,2023-08-01,C101463,P1138,1,128700.0,128731,Branch,CAM236,Tegal,Central Java
T100017,2024-10-24,C102149,P1057,1,2207400.0,2207434,Mobile,CAM217,Makassar,Sulawesi
T100018,2024-04-25,C100376,P1038,2,528500.0,1057100,Mobile,CAM213,Jakarta,Jakarta
T100019,2023-06-29,C101279,P1141,3,4152800.0,12458346,Branch,,Tegal,Central Java
T100020,2024-06-21,C102636,P1031,1,1582400.0,1582433,Mobile,,Bogor,West Java
T100021,2024-06-10,C102821,P1122,1,1496300.0,1496319,Mobile,CAM221,Jakarta,Jakarta
T100022,2023-01-22,C100821,P1109,2,2630600.0,5261274,Branch,CAM238,Denpasar,Bali
T100023,2023-12-11,C100001,P1110,2,3727100.0,7454244,Internet,CAM222,Jakarta,Jakarta
T100024,2024-07-30,C101863,P1045,1,292500.0,292544,Internet,,Bekasi,West Java
T100025,2023-01-21,C101882,P1103,4,2936700.0,11746931,Internet,,Tegal,Central Java
T100026,2024-02-12,C100127,P1129,1,3361600.0,3361570,Mobile,,Bekasi,West Java
T100027,2024-05-01,C101973,P1062,6,2831200.0,16987169,Branch,,Tegal,Central Java
T100028,2024-06-11,C101478,P1104,1,2908200.0,2908242,Internet,,Jakarta,Jakarta
T100029,2024-02-20,C100942,P1044,2,2021000.0,4042034,Mobile,CAM209,Semarang,Central Java
T100030,2023-09-29,C102399,P1130,5,3947900.0,19739510,Internet,CAM238,Palembang,Sumatra
T100031,2023-07-24,C102089,P1099,2,197600.0,395111,CallCenter,CAM203,Cimahi,West Java
T100032,2023-10-25,C101378,P1038,1,510500.0,510495,Branch,CAM224,Jakarta,Jakarta
T100033,2024-11-02,C100258,P1069,3,2078700.0,34829651,Mobile,CAM223,Yogyakarta,Yogyakarta
T100034,2024-07-06,C101233,P1020,3,3225000.0,9674850,Agent,,Jakarta,Jakarta
T100035,2023-04-18,C100036,P1068,3,2096200.0,6288541,Internet,CAM214,Jakarta,Jakarta
T100036,2024-09-28,C102069,P1125,3,1704700.0,5114020,Mobile,CAM230,Jakarta,Jakarta
T100037,2023-06-01,C101184,P1025,5,681100.0,3405604,Mobile,,Jakarta,Jakarta
T100038,2023-01-13,C101765,P1118,1,606900.0,606899,Mobile,,Manado,Sulawesi
T100039,2024-12-15,C102406,P1044,2,2535200.0,5070340,Branch,,Bekasi,West Java
T100040,2023-03-20,C101878,P1100,1,3893000.0,3893000,Mobile,CAM202,Jakarta,Jakarta
T100041,2024-07-07,C100829,P1014,2,1480800.0,2961629,Branch,CAM233,Surabaya,East Java
T100042,2023-06-18,C101308,P1103,1,2693200.0,2693196,CallCenter,CAM203,Semarang,Central Java
T100043,2023-09-06,C101857,P1085,2,3327800.0,6655672,Mobile,,Bandung,West Java
T100044,2023-05-01,C101916,P1067,1,2732500.0,2732476,Internet,CAM234,Semarang,Central Java
T100045,2024-01-22,C102353,P1044,1,2104600.0,2104622,Branch,CAM206,Makassar,Sulawesi
T100046,2024-03-14,C100013,P1113,1,251300.0,251301,Internet,,Medan,Sumatra
T100047,2023-09-29,C100047,P1033,2,2975800.0,5951676,CallCenter,CAM231,Pekanbaru,Sumatra
T100048,2023-10-27,C101265,P1132,2,93500.0,187007,Internet,CAM219,Manado,Sulawesi
T100049,2024-12-21,C101909,P1130,1,4812700.0,4812719,Mobile,,Jakarta,Jakarta
T100050,2024-04-17,C101734,P1082,3,3285000.0,9855124,Mobile,,Denpasar,Bali
T100051,2023-06-07,C101121,P1054,3,3711000.0,11133144,Branch,CAM224,Bekasi,West Java
T100052,2024-09-24,C100815,P1060,2,1793500.0,3587014,Mobile,CAM232,Makassar,Sulawesi
T100053,2023-08-15,C101149,P1004,2,4471600.0,8943278,Branch,CAM217,Makassar,Sulawesi
T100054,2024-02-25,C102207,P1101,1,3264300.0,3264252,Internet,CAM223,Tegal,Central Java
T100055,2023-01-24,C101288,P1071,2,5079700.0,10159398,Mobile,,Jakarta,Jakarta
T100056,2024-06-21,C101270,P1084,1,3815000.0,3814982,Agent,,Serang,Banten
T100057,2024-07-23,C102018,P1067,4,2718400.0,10873745,Internet,,Medan,Sumatra
T100058,2024-09-29,C102232,P1147,3,706600.0,2119791,Internet,CAM235,Surakarta,Central Java
T100059,2024-06-23,C102514,P1119,2,942800.0,1885569,CallCenter,,Pekanbaru,Sumatra
T100060,2023-05-08,C101593,P1069,2,1821300.0,3642677,Mobile,CAM203,Bekasi,West Java
T100061,2023-04-04,C101719,P1082,3,3302700.0,9908216,Branch,CAM211,Denpasar,Bali
T100062,2024-12-03,C102830,P1005,3,1290600.0,3871775,Mobile,CAM224,Jakarta,Jakarta
T100063,2024-02-25,C102678,P1054,2,4024200.0,8048344,Mobile,CAM218,Pontianak,Kalimantan
T100064,2023-09-29,C100734,P1087,4,2632100.0,10528224,Mobile,CAM218,Tegal,Central Java
T100065,2024-04-28,C101906,P1060,2,3100800.0,6201610,Internet,,Medan,Sumatra
T100066,2023-01-05,C101262,P1132,2,152100.0,304277,Branch,CAM229,Jakarta,Jakarta
T100067,2023-06-06,C100557,P1067,1,2261500.0,2261459,Mobile,CAM219,Jakarta,Jakarta
T100068,2023-02-21,C101252,P1109,1,2658700.0,2658661,Branch,CAM229,Tegal,Central Java
T100069,2023-08-31,C102374,P1057,2,2031200.0,4062344,Branch,,Bekasi,West Java
T100070,2024-10-24,C100065,P1146,2,817200.0,1634316,Mobile,CAM210,Cimahi,West Java
T100071,2024-02-24,C102360,P1109,2,2590200.0,5180324,Mobile,CAM211,Jakarta,Jakarta
T100072,2024-02-29,C100289,P1017,2,5760100.0,11520266,Mobile,CAM204,Jakarta,Jakarta
T100073,2023-03-21,C102274,P1030,3,3945800.0,11837435,Internet,CAM226,Medan,Sumatra
T100074,2024-11-25,C100174,P1000,3,3558300.0,10674755,Branch,,Tangerang,Banten
T100075,2023-12-20,C101088,P1005,2,2166200.0,4332466,Mobile,CAM235,Surabaya,East Java
T100076,2024-09-10,C100846,P1036,2,2544700.0,5089367,Agent,CAM238,Bekasi,West Java
T100077,2024-10-27,C102809,P1001,1,3876500.0,3876548,Branch,,Tegal,Central Java
T100078,2023-10-20,C102317,P1057,2,1793100.0,3586199,Mobile,CAM232,Yogyakarta,Yogyakarta
T100079,2024-12-17,C102229,P1043,5,2661900.0,13309435,Branch,,Jakarta,Jakarta
T100080,2023-04-26,C102953,P1043,2,3044900.0,6089818,CallCenter,CAM228,Pekanbaru,Sumatra
T100081,2024-06-12,C100834,P1026,1,555000.0,554971,Mobile,CAM239,Surabaya,East Java
T100082,2024-04-24,C102387,P1036,2,1613700.0,3227491,Agent,CAM223,Bekasi,West Java
T100083,2023-10-15,C102943,P1087,2,2975000.0,5950026,Mobile,,Surakarta,Central Java
